Respondent_ID,Gender,Education,Age_Group,Transport_Usage,Traffic_Congestion_Frequency,AI_Helpful_Traffic_Management,AI_Prevent_Accidents,Driverless_Vehicle_Opinion,AI_Reduce_Road_Accidents,AI_Prominent_Field,Biggest_Traffic_Challenge,Congestion_Cause,AI_Implementation_Tech,Support_Traffic_Cameras,Real_Time_Traffic_Updates_Importance,Traffic_System_Rating
1,Male,Bachelor's degree,18-25,Weekly,Monthly,Yes,Sometimes,Helpful,May be,Autonomous vehicles,Inefficient traffic signal management,Accidents,Cameras,Somewhat,Very important,3
2,Female,Bachelor's degree,18-25,Daily,Daily,Yes,Yes,Helpful,Yes,Accident prevention,Inefficient traffic signal management,Rush hour,Cameras,Yes,Somewhat important,3
3,Female,Bachelor's degree,18-25,Daily,Weekly,Yes,Sometimes,No idea,Yes,Smart traffic lights,Inefficient traffic signal management,Rush hour,Cameras,Yes,Very important,4
4,Female,Bachelor's degree,18-25,Weekly,Rarely,No,Yes,Beneficial,Yes,Accident prevention,Inefficient traffic signal management,Accidents,Cameras,No,Somewhat important,1
5,Prefer not to say,Bachelor's degree,18-25,Weekly,Daily,No,Yes,Helpful,No,Accident prevention,Inefficient traffic signal management,Accidents,No idea,No,Somewhat important,3
6,Female,Bachelor's degree,18-25,Daily,Monthly,Yes,Yes,Dangerous,Yes,Smart traffic lights,Inefficient traffic signal management,Road construction,Sensors,Yes,Not very important,3
7,Female,High school,18-25,Weekly,Rarely,May be,Yes,Helpful,May be,Accident prevention,Lack of real-time traffic monitoring,Accidents,No idea,Somewhat,Somewhat important,4
8,Female,Bachelor's degree,18-25,Weekly,Daily,Sometimes,Yes,No idea,No,Smart traffic lights,Inefficient traffic signal management,Rush hour,Cameras,Somewhat,Somewhat important,5
9,Prefer not to say,Bachelor's degree,18-25,Weekly,Monthly,Yes,Yes,No idea,May be,Accident prevention,Inefficient traffic signal management,Rush hour,Sensors,Yes,Not very important,3
10,Female,Doctoral degree,18-25,Weekly,Weekly,Yes,Yes,Dangerous,May be,Autonomous vehicles,Lack of real-time traffic monitoring,Rush hour,Cameras,Somewhat,Very important,3
11,Prefer not to say,Bachelor's degree,18-25,Monthly,Weekly,May be,Yes,Helpful,Yes,Smart traffic lights,Lack of real-time traffic monitoring,Accidents,Sensors,Somewhat,Not very important,4
12,Female,Master's degree,Above 40,Daily,Daily,Yes,Sometimes,No idea,Yes,Adaptive traffic control system,None,Accidents,Cameras,Yes,Somewhat important,4
13,Female,Bachelor's degree,18-25,Weekly,Weekly,No,Yes,Helpful,May be,Adaptive traffic control system,Inefficient traffic signal management,Accidents,Sensors,Yes,Somewhat important,3
14,Female,Bachelor's degree,18-25,Rarely,Weekly,May be,Sometimes,Helpful,May be,Autonomous vehicles,Inefficient traffic signal management,Road construction,Cameras,Yes,Very important,4
15,Male,Master's degree,18-25,Daily,Daily,May be,No idea,Beneficial,May be,Smart traffic lights,Inefficient traffic signal management,Road construction,Sensors,Somewhat,Somewhat important,4
